repo	url	commit_reviewed	commit_date	skill_md_count	scope
BrianRWagner/ai-marketing-claude-code-skills	https://github.com/BrianRWagner/ai-marketing-claude-code-skills	f36b34fc539a7a3b801839bfff2c26277fd7ec69	2026-03-19	23	in-scope
Linked-API/linkedin-skills	https://github.com/Linked-API/linkedin-skills	e5e642e2bbbd839501c59a7742cdc04a9d9c66a0	2026-08-13	2	in-scope
Paramchoudhary/ResumeSkills	https://github.com/Paramchoudhary/ResumeSkills	74ae19e7c62b0516d1c298328e5544976c12da5d	2026-06-19	29	adjacent
VicUgochukwu/brand-design-skill	https://github.com/VicUgochukwu/brand-design-skill	179eb1ce4dc75e540f00e52cb266355fc5c82438	2026-02-26	0	no-skills
ZENABM/linkedin-abm-skills	https://github.com/ZENABM/linkedin-abm-skills	915dae2dcbd91ea554ee8a930b26a1a0923947d9	2026-07-12	4	in-scope
az9713/ai-co-writing-claude-skills	https://github.com/az9713/ai-co-writing-claude-skills	e098f4ff921d0d86511cdc788a4e732ad2435d7f	2025-12-11	11	in-scope
benabbate-sales/basho-outreach-skill	https://github.com/benabbate-sales/basho-outreach-skill	995a65c8422767f63994ab6386aae5f9403c83ff	2026-08-05	1	in-scope
charlie947/social-media-skills	https://github.com/charlie947/social-media-skills	d2e948719eafc8ed9e2436357ad18489bb371a81	2026-08-30	17	in-scope
claude-dev-code/claude-skills-linkedin	https://github.com/claude-dev-code/claude-skills-linkedin	4b8584a44e7c5c458e846855f6b36b4f209ae4ec	2026-04-27	4	in-scope
cocodedk/in-optimizer	https://github.com/cocodedk/in-optimizer	97205ee8385b2a0b4859094ff72d0f7dc6e481db	2026-07-05	5	in-scope
davila7/claude-code-templates	https://github.com/davila7/claude-code-templates	483174563472c78637d8d4d7acc8b8e02b7cc8c8	2026-09-04	898	sampled
dvcrn/openclaw-skills-marketplace	https://github.com/dvcrn/openclaw-skills-marketplace	931184f93d78d90841bc66971fde8cc00539e027	2026-08-29	27520	aggregator
ekawijayasusilo/pluginize	https://github.com/ekawijayasusilo/pluginize	92376df872d40178d7acc4b7bbb89c5d96f47715	2026-07-20	7	in-scope
ericgandrade/claude-superskills	https://github.com/ericgandrade/claude-superskills	394587c7cb1fb249d02326c96d9735a0d5969b23	2026-05-11	18	adjacent
getaero-io/deepline-plugins	https://github.com/getaero-io/deepline-plugins	dbe72b5316e74bbeb65eb47172ecc2490e100009	2026-09-04	16	in-scope
heymitch/content-ai-starter-pack	https://github.com/heymitch/content-ai-starter-pack	c852f2b123585d085b190f33d88cf6d0d138d9f1	2026-04-16	9	in-scope
itchernetski/threads-carousel-claude-skill	https://github.com/itchernetski/threads-carousel-claude-skill	cc775b668088ba348022bc2296ff41f130f1f7ef	2026-04-20	1	out-of-scope
jantoniofc/skillsbank	https://github.com/jantoniofc/skillsbank	512bb7e8cc67c53699d7697edf4376d0f4d64007	2026-08-04	6381	aggregator
lifegenieai/lifegenie-claude-marketplace	https://github.com/lifegenieai/lifegenie-claude-marketplace	07690f4c6d803d1e528c0cef156da937bc15c8fb	2026-03-24	8	adjacent
longleo287/omniclaw	https://github.com/longleo287/omniclaw	943f16ab4298cb851a64d5e2ddfc08a94eea62bd	2026-08-27	796	aggregator
mardab96/linkedin-ads-claude-skills	https://github.com/mardab96/linkedin-ads-claude-skills	8d1483c61ddc76a51ececdc3fd135fb8d048a109	2026-08-03	12	in-scope
mattvolta/outworkos_diy	https://github.com/mattvolta/outworkos_diy	9f43989c4190de29f69a1736b1ff2a8566c7c5f6	2026-03-16	41	in-scope
mehul-fanawala/linkedin-carousel-skill	https://github.com/mehul-fanawala/linkedin-carousel-skill	90a6006efb3564c5d959d4f8d0cb8a0cf5541042	2026-06-09	1	out-of-scope
msapps-mobile/claude-plugins	https://github.com/msapps-mobile/claude-plugins	70eee8673c300b766fec3ec138521594111760bd	2026-08-26	60	in-scope
robomotionio/robomotion-skills	https://github.com/robomotionio/robomotion-skills	d92fb5bc4417bb403a900092352e66ff7874b722	2026-06-03	527	in-scope
samber/cc-skills	https://github.com/samber/cc-skills	f866b800353719270a9ea101a41c5e2a2618d460	2026-09-02	21	in-scope
sergebulaev/linkedin-skills	https://github.com/sergebulaev/linkedin-skills	a418e725c4585db9bfcc553875b70a979459d88f	2026-09-03	24	in-scope
sickn33/antigravity-awesome-skills	https://github.com/sickn33/antigravity-awesome-skills	d0cfdce27c34e56eb1d0976aca1a397716f0a739	2026-09-03	6638	aggregator
southleft/linkedin-mcp	https://github.com/southleft/linkedin-mcp	843a48f1261dfd9df30f195be7b1128451d4cc5a	2026-03-25	0	mcp-server
syftdata/gtm-toolkit	https://github.com/syftdata/gtm-toolkit	b9fcd79521f8dabe85ec7213b8e57ee92d276de3	2026-05-20	5	in-scope
timkulbaev/mcp-linkedin	https://github.com/timkulbaev/mcp-linkedin	c6545e93e9be63e12c4b89b67b325bf864bf5c27	2026-03-20	1	mcp-server
tjsndhu/aurem	https://github.com/tjsndhu/aurem	656f0c67e43972546c590ee308ef9cb4a649c365	2026-08-31	4519	aggregator
warpirate/linkedin-maxxing	https://github.com/warpirate/linkedin-maxxing	5786db71d48684f61870e922ab332b6a1784319f	2026-06-16	17	in-scope
